fetch_errormessage,events-fired,performanceAPI.smooth,fetch_response,0
Failed to fetch,"[{}, 'error']","{'size': {'transferSize': 0, 'decodedBodySize': 0, 'encodedBodySize': 0}, 'timing': {'duration': >0, 'fetchStart': >0, 'redirectEnd': 0, 'redirectStart': 0, 'secureConnectionStart': 0}, 'initiatorType': 'fetch', 'nextHopProtocol': ''}",uncalled,224567
uncalled,"[{}, 'then']","{'size': {'transferSize': 0, 'decodedBodySize': 0, 'encodedBodySize': 0}, 'timing': {'duration': >0, 'fetchStart': >0, 'redirectEnd': 0, 'redirectStart': 0, 'secureConnectionStart': 0}, 'initiatorType': 'fetch', 'nextHopProtocol': 'http/1.1'}","{'ok': False, 'url': '', 'body': None, 'type': 'opaque', 'status': 0, 'headers': {}, 'redirected': False, 'statusText': ''}",134715
