fetch_errormessage,events-fired,performanceAPI.smooth,fetch_response,0
Load failed,"[{}, 'error']",uncalled,uncalled,209579
uncalled,"[{}, 'then']","{'size': {'transferSize': None, 'decodedBodySize': None, 'encodedBodySize': None}, 'timing': {'duration': >0, 'fetchStart': >0, 'redirectEnd': 0, 'redirectStart': 0, 'secureConnectionStart': 0}, 'initiatorType': 'fetch', 'nextHopProtocol': 'http/1.1'}","{'ok': False, 'url': '', 'body': None, 'type': 'opaque', 'status': 0, 'headers': {}, 'redirected': False, 'statusText': ''}",149639
